day,ew,pp,tt,mpv,mpv_error,auto_flag,source,source_stage,source_file,in_primary_range
176,0,1,1,102.73011,2.980703,different_from_nominal,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,1,2,123.125603,1.593469,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,1,3,104.736771,4.482899,different_from_nominal,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,1,4,129.454544,0.726266,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,1,5,119.134651,1.679205,different_from_nominal,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,1,6,125.943947,0.610348,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,1,7,121.546875,0.913663,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,1,8,126.965759,0.526328,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,1,9,124.788292,0.547394,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,1,10,134.170319,0.545541,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,1,11,134.355194,0.634802,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,1,12,134.868484,0.623363,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,1,13,134.575668,0.633188,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,1,14,134.56897,0.640046,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,1,15,134.02092,0.644855,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,1,16,133.32222,0.551878,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,1,17,132.443497,0.587278,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,1,18,132.929565,0.513032,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,1,19,129.811813,0.544265,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,1,20,132.692627,0.524986,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,1,21,131.444183,0.547513,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,1,22,132.541794,0.564359,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,1,23,132.975159,0.550885,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,1,24,130.902313,0.658408,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,1,25,130.415039,0.652417,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
