day,ew,pp,tt,manual_mpv,manual_mpv_error,auto_flag,source,source_stage,source_file
183,0,1,1,111.098152,1.202647,not_flagged,eloyd,manual_refit,RefitWork.txt
183,0,1,2,123.2257,0.782447,not_flagged,eloyd,manual_refit,RefitWork.txt
183,0,1,3,114.03862,1.000895,not_flagged,eloyd,manual_refit,RefitWork.txt
183,0,1,5,120.215004,0.796519,not_flagged,eloyd,manual_refit,RefitWork.txt
183,0,1,7,120.145096,0.636076,not_flagged,eloyd,manual_refit,RefitWork.txt
183,0,3,2,126.272736,0.667859,not_flagged,eloyd,manual_refit,RefitWork.txt
183,0,6,1,125.175575,1.075047,not_flagged,eloyd,manual_refit,RefitWork.txt
183,0,6,2,119.990395,0.935605,not_flagged,eloyd,manual_refit,RefitWork.txt
183,0,6,3,123.455933,0.861496,not_flagged,eloyd,manual_refit,RefitWork.txt
183,0,6,5,123.743294,0.6864,not_flagged,eloyd,manual_refit,RefitWork.txt
183,0,7,1,127.529472,0.755576,not_flagged,eloyd,manual_refit,RefitWork.txt
183,0,7,3,126.291664,0.646876,not_flagged,eloyd,manual_refit,RefitWork.txt
183,0,8,2,127.35498,0.853237,not_flagged,eloyd,manual_refit,RefitWork.txt
183,0,11,2,126.008461,0.954435,not_flagged,eloyd,manual_refit,RefitWork.txt
183,0,12,2,127.142303,0.826256,not_flagged,eloyd,manual_refit,RefitWork.txt
183,0,12,3,127.363129,0.838626,not_flagged,eloyd,manual_refit,RefitWork.txt
183,1,1,2,129.483002,0.841568,not_flagged,eloyd,manual_refit,RefitWork.txt
183,1,1,6,0.0,0.0,not_flagged,eloyd,manual_refit,RefitWork.txt
183,1,2,10,0.0,0.0,not_flagged,eloyd,manual_refit,RefitWork.txt
183,1,3,1,121.68837,0.933767,not_flagged,eloyd,manual_refit,RefitWork.txt
183,1,5,3,127.544296,0.995629,not_flagged,eloyd,manual_refit,RefitWork.txt
183,1,6,1,55.735142,0.3303,not_flagged,eloyd,manual_refit,RefitWork.txt
