rank,priority_tier,day,ew,pp,tt,mpv,mpv_error,auto_flag,reasons,leave_one_out_constant_shift,leave_one_out_pull,source,source_file,input_file,input_line,action
1,1,168,0,11,31,135.911682,0.359386,not_flagged,large_leave_one_out_pull,1.4852681292601915,9.429253707791688,yuno,NmipConstantsDay162_168_changed.txt,/Users/dchenmac/dchen/service/Run23_live/EpdCalibration-apple/projects/2023_AuAu_200GeV/data/derived/daily_observations_primary.csv,26382,inspect_spectrum_or_provenance; do_not_auto_reject
2,1,168,0,11,24,138.460403,0.332009,not_flagged,large_leave_one_out_pull,1.4209941515140656,9.482300300282128,yuno,NmipConstantsDay162_168_changed.txt,/Users/dchenmac/dchen/service/Run23_live/EpdCalibration-apple/projects/2023_AuAu_200GeV/data/derived/daily_observations_primary.csv,26375,inspect_spectrum_or_provenance; do_not_auto_reject
3,1,168,0,8,29,136.311295,0.31299,not_flagged,large_leave_one_out_pull,1.380301306800277,9.50290126092658,yuno,NmipConstantsDay162_168_changed.txt,/Users/dchenmac/dchen/service/Run23_live/EpdCalibration-apple/projects/2023_AuAu_200GeV/data/derived/daily_observations_primary.csv,26287,inspect_spectrum_or_provenance; do_not_auto_reject
4,1,168,0,11,30,137.383484,0.366339,not_flagged,large_leave_one_out_pull,1.2876724822048686,8.531494783279262,yuno,NmipConstantsDay162_168_changed.txt,/Users/dchenmac/dchen/service/Run23_live/EpdCalibration-apple/projects/2023_AuAu_200GeV/data/derived/daily_observations_primary.csv,26381,inspect_spectrum_or_provenance; do_not_auto_reject
5,1,168,0,11,29,134.723251,0.357157,not_flagged,large_leave_one_out_pull,1.1798803089103274,7.537226534519677,yuno,NmipConstantsDay162_168_changed.txt,/Users/dchenmac/dchen/service/Run23_live/EpdCalibration-apple/projects/2023_AuAu_200GeV/data/derived/daily_observations_primary.csv,26380,inspect_spectrum_or_provenance; do_not_auto_reject
6,1,168,0,6,31,135.425537,0.346102,not_flagged,large_leave_one_out_pull,1.1352455722726518,7.479316101597196,yuno,NmipConstantsDay162_168_changed.txt,/Users/dchenmac/dchen/service/Run23_live/EpdCalibration-apple/projects/2023_AuAu_200GeV/data/derived/daily_observations_primary.csv,26227,inspect_spectrum_or_provenance; do_not_auto_reject
7,1,168,0,3,23,137.851334,0.301837,not_flagged,large_leave_one_out_pull,1.1325448161738905,8.256135982927814,yuno,NmipConstantsDay162_168_changed.txt,/Users/dchenmac/dchen/service/Run23_live/EpdCalibration-apple/projects/2023_AuAu_200GeV/data/derived/daily_observations_primary.csv,26126,inspect_spectrum_or_provenance; do_not_auto_reject
8,1,168,0,8,26,136.581299,0.309967,not_flagged,large_leave_one_out_pull,1.1096348727237455,7.7016945200838975,yuno,NmipConstantsDay162_168_changed.txt,/Users/dchenmac/dchen/service/Run23_live/EpdCalibration-apple/projects/2023_AuAu_200GeV/data/derived/daily_observations_primary.csv,26284,inspect_spectrum_or_provenance; do_not_auto_reject
9,1,168,0,1,26,133.478439,0.355686,not_flagged,large_leave_one_out_pull,1.1042382772854182,6.548764854815525,yuno,NmipConstantsDay162_168_changed.txt,/Users/dchenmac/dchen/service/Run23_live/EpdCalibration-apple/projects/2023_AuAu_200GeV/data/derived/daily_observations_primary.csv,26067,inspect_spectrum_or_provenance; do_not_auto_reject
10,1,168,0,11,25,135.457611,0.339246,not_flagged,large_leave_one_out_pull,1.0860800205349221,6.89084406301726,yuno,NmipConstantsDay162_168_changed.txt,/Users/dchenmac/dchen/service/Run23_live/EpdCalibration-apple/projects/2023_AuAu_200GeV/data/derived/daily_observations_primary.csv,26376,inspect_spectrum_or_provenance; do_not_auto_reject
11,1,168,0,9,30,139.748581,0.324087,not_flagged,large_leave_one_out_pull,1.0841327025266594,7.951506760748336,yuno,NmipConstantsDay162_168_changed.txt,/Users/dchenmac/dchen/service/Run23_live/EpdCalibration-apple/projects/2023_AuAu_200GeV/data/derived/daily_observations_primary.csv,26319,inspect_spectrum_or_provenance; do_not_auto_reject
