ew,pp,tt,period_start,period_end,n_found,n_used,status,median_mpv,max_abs_residual,missing_days,flagged_days,numeric_excluded_days,qa_flag,source,split_day,n_before,n_after,signed_median_shift,notes,constant,constant_error,chi2,ndf,chi2_ndf,max_weight_fraction,dominant_day
0,1,1,162,168,7,7,provisional,114.12896,6.061662769042556,,,,,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,114.67153376904255,0.4635668022736186,17.000132142696046,6,2.8333553571160075,0.3677528324572812,168
0,1,2,162,168,7,7,provisional,122.825409,5.7978894425726395,,,,,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,123.00872055742737,0.3609491127693127,11.01097066389857,6,1.8351617773164284,0.33864479717470497,168
0,1,3,162,168,7,7,provisional,110.632957,3.672405453066105,,,,,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,110.1014904530661,0.7239298953753318,3.053745757321275,6,0.5089576262202126,0.3449065834655054,168
0,1,4,162,168,7,7,provisional,127.113113,1.359204679165785,,,,,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,127.47606367916579,0.23485865129803812,7.472725993549576,6,1.2454543322582625,0.3536833889895029,168
0,1,5,162,168,7,7,provisional,120.597214,2.3683483285756495,,,,,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,120.71671432857565,0.37003585636111186,8.153740293554284,6,1.3589567155923807,0.3197449481430168,168
0,1,6,162,168,7,7,provisional,124.452499,2.6491221058197,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,124.5286428941803,0.22588066345380595,35.04235590307923,6,5.8403926505132056,0.3985718003467338,168
0,1,7,162,168,7,7,provisional,120.247879,5.218894884281497,,,,,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,120.6529538842815,0.2915968588484438,7.515130537498367,6,1.2525217562497277,0.3436978555894832,168
0,1,8,162,168,7,7,provisional,125.970993,1.4992073838746478,,,,,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,126.25274561612535,0.17928461666655596,12.314986253211105,6,2.0524977088685175,0.3931107904512326,168
0,1,9,162,168,7,7,provisional,126.776993,2.1182515744076795,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,125.82589342559233,0.18922018070262833,41.56320297200218,6,6.927200495333697,0.40221887087460834,168
0,1,10,162,168,7,7,provisional,135.115982,3.0778547198073056,,,,,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,135.0620382801927,0.19532706188048513,9.029956518229655,6,1.5049927530382758,0.38397975533179995,168
0,1,11,162,168,7,7,provisional,134.789093,3.795823446094488,,,,,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,134.4509265539055,0.21328746997465545,8.905380267323396,6,1.4842300445538994,0.3919767923301228,168
0,1,12,162,168,7,7,provisional,135.471207,2.4006331885282464,,,,,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,135.83357118852825,0.2046306280259745,12.914595486280415,6,2.1524325810467357,0.38765930718415587,168
0,1,13,162,168,7,7,provisional,135.297577,1.0161183645366805,,,,,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,134.91447936453667,0.21127463000893612,5.796464424954857,6,0.9660774041591429,0.376933532789122,168
0,1,14,162,168,7,7,provisional,134.510117,1.4318171607384045,,,,,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,134.8378991607384,0.20957482867338176,6.397670680115179,6,1.0662784466858632,0.3892162842750263,168
0,1,15,162,168,7,7,provisional,134.883575,2.641517465678163,,,,,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,135.02989946567817,0.21773065477892614,24.71703565030415,6,4.1195059417173585,0.40177989700889144,168
0,1,16,162,168,7,7,provisional,131.769257,1.971870467597853,,,,,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,132.18082446759786,0.1772697525715197,22.390130135822062,6,3.7316883559703435,0.37630997152738,168
0,1,17,162,168,7,7,provisional,131.137466,3.0779230660528754,,,,,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,131.10603693394714,0.1939028763883305,14.530412433033138,6,2.421735405505523,0.3727694684312281,168
0,1,18,162,168,7,7,provisional,134.034546,2.078817484020618,,,,,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,133.68987451597937,0.17872297570158008,7.19124798178864,6,1.1985413302981067,0.39477432286380704,168
0,1,19,162,168,7,7,provisional,129.318085,1.1819292749697468,,,,,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,130.10472027496974,0.17588606160806897,12.920772419448406,6,2.1534620699080675,0.3885063110983756,168
0,1,20,162,168,7,7,provisional,132.503738,1.206789896758778,,,,,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,132.87227189675878,0.17927924319626873,11.37915445934368,6,1.8965257432239466,0.39533480721716613,168
0,1,21,162,168,7,7,provisional,131.151871,2.0532561046028945,,,,,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,131.18153710460288,0.18926809675885467,9.079929774131823,6,1.5133216290219706,0.3895770023447714,168
0,1,22,162,168,7,7,provisional,132.584534,1.6052436947716728,,,,,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,132.29127130522832,0.18892664130303333,25.084816635173254,6,4.180802772528875,0.3866486730703454,168
0,1,23,162,168,7,7,provisional,131.378571,1.3826538591080464,,,,,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,131.93166485910805,0.18413979593553328,20.025264246799917,6,3.3375440411333197,0.3958926896018054,168
0,1,24,162,168,7,7,provisional,130.034912,3.862659564716779,,,,,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,130.4303244352832,0.2120658365641228,17.895395864079052,6,2.9825659773465087,0.3786454475808192,168
0,1,25,162,168,7,7,provisional,129.551483,2.016917529542752,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,130.28350352954274,0.2187926378362776,34.52565458932641,6,5.754275764887734,0.384178646513517,168
0,1,26,162,168,7,7,provisional,130.832565,2.484659415908311,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,131.6367134159083,0.21776318639895817,49.7017367553539,6,8.283622792558983,0.37483089720226276,168
0,1,27,162,168,7,7,provisional,131.50145,3.224332047360548,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,132.42761495263946,0.1984446337073168,40.04826428013713,6,6.6747107133561885,0.3581006805966422,168
0,1,28,162,168,7,7,provisional,131.552246,2.6838495808316623,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,132.07030858083166,0.23502694059772916,37.56307353343527,6,6.260512255572546,0.3563691101267907,168
