rank,priority_tier,ew,pp,tt,period_start,period_end,n_found,n_used,status,median_mpv,max_abs_residual,missing_days,flagged_days,numeric_excluded_days,qa_flag,source,split_day,n_before,n_after,signed_median_shift,notes,constant,constant_error,chi2,ndf,chi2_ndf,max_weight_fraction,dominant_day
1,2,0,10,29,162,168,7,7,provisional,137.669098,5.097556674864762,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,137.97576067486477,0.20233092100985006,156.81847104723434,6,26.136411841205724,0.36153191039225413,168
2,2,0,6,23,162,168,7,7,provisional,133.870285,4.439593395271487,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,134.83220239527148,0.18239148209653114,128.0667837338933,6,21.34446395564888,0.37312364323313696,168
3,2,0,11,31,162,168,7,7,provisional,131.993332,4.296697336411114,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,133.18515533641113,0.2134174784706922,123.45698338694034,6,20.57616389782339,0.3526449417198413,168
4,2,1,2,19,162,168,7,7,provisional,132.009583,6.4502999267338055,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,132.7892170732662,0.22054078613489883,121.87630993539075,6,20.312718322565125,0.3658668552554253,168
5,2,0,11,24,162,168,7,7,provisional,134.84671,5.159440167328995,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,135.943513167329,0.19944104603540716,110.85354816720827,6,18.475591361201378,0.36085221332596834,168
6,2,0,11,30,162,168,7,7,provisional,134.282333,3.799378847745345,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,134.83627484774536,0.21228039208968427,108.55612329133706,6,18.092687215222842,0.3357789379036091,168
7,2,0,4,1,162,168,7,7,provisional,137.355804,4.8764520641322235,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,136.8783590641322,0.22342816623716721,104.94369934964935,6,17.49061655827489,0.34227426859222854,168
8,2,0,8,29,162,168,7,7,provisional,132.796448,2.3631829570867637,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,133.94811204291324,0.19005504645766824,92.22268000729824,6,15.370446667883039,0.3687210121639547,168
9,2,0,9,24,162,168,7,7,provisional,134.182281,3.81225660309795,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,133.85006760309795,0.17441500617061334,89.92606611450552,6,14.987677685750919,0.37105651033679066,168
10,2,0,10,26,162,168,7,7,provisional,134.90033,4.760413522525255,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,135.20638252252525,0.1953150084811025,89.51336293171873,6,14.918893821953121,0.3649090227701226,168
11,2,0,3,30,162,168,7,7,provisional,133.523651,4.705011334022345,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,133.66721533402236,0.22493106283238928,84.13152032080818,6,14.02192005346803,0.3444835912137076,168
12,2,0,9,29,162,168,7,7,provisional,133.757248,3.8885330064528603,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,133.74767900645287,0.1879022650352606,79.51822648837071,6,13.253037748061786,0.35974136037047444,168
13,2,0,3,23,162,168,7,7,provisional,134.676651,3.6766762791030203,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,135.86207027910302,0.1818013241284512,78.28339294442983,6,13.047232157404972,0.3627848417752529,168
14,2,0,12,30,162,168,7,7,provisional,133.226242,3.195579885534926,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,135.34026388553494,0.19650325139256497,74.204672483133,6,12.3674454138555,0.33954301709980034,168
15,2,0,5,1,162,168,7,7,provisional,130.178192,4.606302790484634,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,130.12546779048463,0.25445468057328846,74.0130988221662,6,12.335516470361034,0.3237816708587107,168
16,2,0,9,30,162,168,7,7,provisional,136.977859,2.285308766619494,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,137.65727276661949,0.18936548023322056,72.46393292821583,6,12.077322154702637,0.34141170451873865,168
17,2,0,10,31,162,168,7,7,provisional,132.422012,5.360285725972517,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,133.20678272597252,0.2113400524330863,70.78004386271954,6,11.796673977119923,0.35028997190872097,168
