rank,priority_tier,ew,pp,tt,period_start,period_end,n_found,n_used,status,median_mpv,max_abs_residual,missing_days,flagged_days,numeric_excluded_days,qa_flag,source,split_day,n_before,n_after,signed_median_shift,notes,constant,constant_error,chi2,ndf,chi2_ndf,max_weight_fraction,dominant_day
1,2,1,4,2,169,175,7,7,provisional,131.323654,4.293274278891872,,,,large_chi2_ndf,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,131.69123127889188,0.45261881613075977,57.775921107936185,6,9.62932018465603,0.3939046510176306,173
2,2,1,8,4,169,175,7,7,provisional,132.423096,3.7529880690464665,,,,large_chi2_ndf,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,131.16348493095353,0.2622063597543432,57.65656012134633,6,9.609426686891055,0.4027243226791507,173
3,2,0,1,7,169,175,7,7,provisional,123.639206,5.692611996199616,,,,large_chi2_ndf,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,122.10137900380039,0.32307764823366764,49.437883046213145,6,8.239647174368857,0.45065424201316856,173
4,2,0,10,29,169,175,7,7,provisional,138.636032,2.4549326933793907,,,,large_chi2_ndf,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,139.4620886933794,0.21246019629545831,46.574427317423584,6,7.762404552903931,0.32979082710933016,173
5,2,0,10,6,169,175,7,7,provisional,130.518143,2.3950480746949268,,,,large_chi2_ndf,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,130.78311392530506,0.1975317126942687,43.804511532235225,6,7.300751922039204,0.31908561988013906,173
6,2,0,4,25,169,175,7,7,provisional,137.673843,1.7228285862991868,,,,large_chi2_ndf,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,137.6518295862992,0.17120454741877184,42.87541841012472,6,7.14590306835412,0.32870799083678676,173
7,2,1,7,10,169,175,7,7,provisional,137.404343,2.975750949841114,,,,large_chi2_ndf,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,137.6929749498411,0.20531519565048695,41.48683472530819,6,6.914472454218032,0.33464072584659954,173
8,2,1,8,8,169,175,7,7,provisional,132.734299,1.7067327365637652,,,,large_chi2_ndf,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,132.00368373656377,0.21595966756028528,39.82254945415753,6,6.637091575692922,0.3546235245023206,173
9,2,0,4,23,169,175,7,7,provisional,136.694977,1.7706132142126592,,,,large_chi2_ndf,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,137.52493121421267,0.17338879554249775,39.37753457154009,6,6.5629224285900145,0.3468744796167706,173
10,2,1,4,22,169,175,7,7,provisional,139.720688,2.149914494660351,,,,large_chi2_ndf,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,140.66234150533964,0.2612590625858701,39.18708089048511,6,6.531180148414186,0.32291337064592424,173
11,2,0,5,21,169,175,7,7,provisional,136.866486,1.7367813534495156,,,,large_chi2_ndf,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,136.17267935344952,0.2044597043074573,38.84780449900136,6,6.474634083166894,0.3055729407843743,173
12,2,0,12,30,169,175,7,7,provisional,138.698776,2.025740534356828,,,,large_chi2_ndf,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,138.59108046564316,0.22243887148724437,37.596550621292685,6,6.266091770215447,0.3122578596977892,173
13,2,0,4,19,169,175,7,7,provisional,139.144852,1.532642521918774,,,,large_chi2_ndf,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,139.32626752191877,0.1663109459936912,37.39839457971496,6,6.233065763285826,0.33457265562233945,173
14,2,0,9,24,169,175,7,7,provisional,135.886536,1.9420006508790948,,,,large_chi2_ndf,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,136.4980616508791,0.18953503507857766,37.02302192064404,6,6.170503653440673,0.3339195951248564,173
15,2,1,7,16,169,175,7,7,provisional,134.915924,3.1503284966571528,,,,large_chi2_ndf,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,135.00555349665714,0.24883989871462037,36.976380065833354,6,6.162730010972226,0.32548459663590995,173
16,2,0,4,21,169,175,7,7,provisional,137.464737,1.856390960703294,,,,large_chi2_ndf,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,137.6897799607033,0.18208654526250306,36.663802339793484,6,6.110633723298914,0.31017465804229927,173
17,2,1,4,23,169,175,7,7,provisional,143.218643,1.9252435672836157,,,,large_chi2_ndf,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,143.79462043271639,0.22985297017929862,36.142859882505974,6,6.023809980417663,0.3053685082990903,173
18,2,1,4,21,169,175,7,7,provisional,144.180954,2.2989608954783876,,,,large_chi2_ndf,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,144.3060868954784,0.22622608684087092,35.86883034303123,6,5.978138390505205,0.32072618803996816,173
19,2,0,2,4,169,175,7,7,provisional,131.992996,2.015708532159266,,,,large_chi2_ndf,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,132.80092646784072,0.1977240305269317,35.679248214549226,6,5.946541369091538,0.3155965823752273,173
20,2,1,1,3,169,175,7,7,provisional,135.493301,3.072512598930132,,,,large_chi2_ndf,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,134.48104540106988,0.31064481063872257,33.970111981363466,6,5.661685330227244,0.33124746216211487,173
21,2,0,6,6,169,175,7,7,provisional,132.239639,2.5388719100323556,,,,large_chi2_ndf,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,131.43479191003235,0.2549426809500348,33.94683014913031,6,5.657805024855051,0.3139540730112224,173
22,2,1,4,17,169,175,7,7,provisional,142.306519,1.787693067540829,,,,large_chi2_ndf,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,143.00554993245916,0.20949791263215153,33.31221482657357,6,5.552035804428929,0.298033365319787,173
23,2,0,3,6,169,175,7,7,provisional,132.790009,2.0200245944913604,,,,large_chi2_ndf,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,133.23935940550865,0.1762375867711544,32.95071697978618,6,5.4917861632976965,0.33934392801070756,173
24,2,1,4,12,169,175,7,7,provisional,137.01268,2.428044416346893,,,,large_chi2_ndf,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,137.7790114163469,0.215348519364333,32.3471083060911,6,5.39118471768185,0.3374362587785008,173
25,2,1,8,14,169,175,7,7,provisional,135.319107,1.480480959936699,,,,large_chi2_ndf,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,136.1663639599367,0.22471839531930954,31.531393965807695,6,5.255232327634616,0.3335675604589936,173
26,2,0,7,27,169,175,7,7,provisional,137.866989,2.9920254170710905,,,,large_chi2_ndf,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,136.9751835829289,0.2310665864325001,31.42959671321875,6,5.238266118869792,0.3182537183809541,173
27,2,0,7,3,169,175,7,7,provisional,130.752945,3.440653320784236,,,,large_chi2_ndf,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,131.03334567921576,0.355984804813496,31.32374653898854,6,5.2206244231647565,0.27837809845807354,173
28,2,0,4,17,169,175,7,7,provisional,137.48851,1.1356724080078493,,,,large_chi2_ndf,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,138.05320059199215,0.1631089215028367,31.1318735595267,6,5.18864559325445,0.32184256500596964,173
29,2,0,4,22,169,175,7,7,provisional,139.15126,1.4907340245974012,,,,large_chi2_ndf,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,139.2288170245974,0.17954011845103662,30.508121028234026,6,5.084686838039004,0.3076724433247724,173
30,2,1,1,6,169,175,7,0,manual_review,,,,,,insufficient_points,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,,,,,,,
31,2,1,2,10,169,175,7,0,manual_review,,,,,,insufficient_points,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,,,,,,,
