rank,priority_tier,day,ew,pp,tt,mpv,mpv_error,auto_flag,reasons,leave_one_out_constant_shift,leave_one_out_pull,source,source_file,input_file,input_line,action
1,1,182,0,6,25,128.778122,0.466826,not_flagged,large_leave_one_out_pull,1.0744327390365243,8.937208020574309,ding,NmipConstantsDay182.txt,/Users/dchenmac/dchen/service/Run23_live/EpdCalibration-apple/projects/2023_AuAu_200GeV/data/derived/daily_observations_primary.csv,4645,inspect_spectrum_or_provenance; do_not_auto_reject
2,1,182,0,1,30,127.466843,0.464398,not_flagged,large_leave_one_out_pull,1.0446710717719725,8.229253353564236,ding,NmipConstantsDay182.txt,/Users/dchenmac/dchen/service/Run23_live/EpdCalibration-apple/projects/2023_AuAu_200GeV/data/derived/daily_observations_primary.csv,4495,inspect_spectrum_or_provenance; do_not_auto_reject
3,1,182,0,6,28,132.353317,0.464675,not_flagged,large_leave_one_out_pull,1.0386416402169232,8.56801777721575,ding,NmipConstantsDay182.txt,/Users/dchenmac/dchen/service/Run23_live/EpdCalibration-apple/projects/2023_AuAu_200GeV/data/derived/daily_observations_primary.csv,4648,inspect_spectrum_or_provenance; do_not_auto_reject
4,1,182,1,4,20,134.438507,0.550696,not_flagged,large_leave_one_out_pull,1.0003140776524049,6.787374237778035,ding,NmipConstantsDay182.txt,/Users/dchenmac/dchen/service/Run23_live/EpdCalibration-apple/projects/2023_AuAu_200GeV/data/derived/daily_observations_primary.csv,4950,inspect_spectrum_or_provenance; do_not_auto_reject
5,1,182,0,1,29,129.72226,0.529834,not_flagged,large_leave_one_out_pull,0.995318196712816,6.978319991917549,ding,NmipConstantsDay182.txt,/Users/dchenmac/dchen/service/Run23_live/EpdCalibration-apple/projects/2023_AuAu_200GeV/data/derived/daily_observations_primary.csv,4494,inspect_spectrum_or_provenance; do_not_auto_reject
6,1,182,0,1,31,129.261124,0.561775,not_flagged,large_leave_one_out_pull,0.9829022818440762,6.656292773479044,ding,NmipConstantsDay182.txt,/Users/dchenmac/dchen/service/Run23_live/EpdCalibration-apple/projects/2023_AuAu_200GeV/data/derived/daily_observations_primary.csv,4496,inspect_spectrum_or_provenance; do_not_auto_reject
7,1,182,1,3,21,131.582474,0.477256,not_flagged,large_leave_one_out_pull,0.9520695365185929,6.57295728812371,ding,NmipConstantsDay182.txt,/Users/dchenmac/dchen/service/Run23_live/EpdCalibration-apple/projects/2023_AuAu_200GeV/data/derived/daily_observations_primary.csv,4920,inspect_spectrum_or_provenance; do_not_auto_reject
8,1,182,1,3,20,130.423721,0.498262,not_flagged,large_leave_one_out_pull,0.9345738431943857,7.297570135528658,ding,NmipConstantsDay182.txt,/Users/dchenmac/dchen/service/Run23_live/EpdCalibration-apple/projects/2023_AuAu_200GeV/data/derived/daily_observations_primary.csv,4919,inspect_spectrum_or_provenance; do_not_auto_reject
9,1,182,0,6,24,130.720596,0.429621,not_flagged,large_leave_one_out_pull,0.9017661289482817,7.986417516723709,ding,NmipConstantsDay182.txt,/Users/dchenmac/dchen/service/Run23_live/EpdCalibration-apple/projects/2023_AuAu_200GeV/data/derived/daily_observations_primary.csv,4644,inspect_spectrum_or_provenance; do_not_auto_reject
10,1,182,1,3,23,126.921616,0.561967,not_flagged,large_leave_one_out_pull,0.8940208598332333,6.767467562971475,ding,NmipConstantsDay182.txt,/Users/dchenmac/dchen/service/Run23_live/EpdCalibration-apple/projects/2023_AuAu_200GeV/data/derived/daily_observations_primary.csv,4922,inspect_spectrum_or_provenance; do_not_auto_reject
11,1,182,0,5,31,129.300751,0.494958,not_flagged,large_leave_one_out_pull,0.8611991617477202,7.580331313221955,ding,NmipConstantsDay182.txt,/Users/dchenmac/dchen/service/Run23_live/EpdCalibration-apple/projects/2023_AuAu_200GeV/data/derived/daily_observations_primary.csv,4620,inspect_spectrum_or_provenance; do_not_auto_reject
12,1,182,1,3,22,129.783798,0.512409,not_flagged,large_leave_one_out_pull,0.8602058505693719,6.402403268095933,ding,NmipConstantsDay182.txt,/Users/dchenmac/dchen/service/Run23_live/EpdCalibration-apple/projects/2023_AuAu_200GeV/data/derived/daily_observations_primary.csv,4921,inspect_spectrum_or_provenance; do_not_auto_reject
13,1,182,1,5,19,132.56163,0.502469,not_flagged,large_leave_one_out_pull,0.8508210090847967,6.906764778221638,ding,NmipConstantsDay182.txt,/Users/dchenmac/dchen/service/Run23_live/EpdCalibration-apple/projects/2023_AuAu_200GeV/data/derived/daily_observations_primary.csv,4980,inspect_spectrum_or_provenance; do_not_auto_reject
14,1,182,0,1,26,129.270248,0.499846,not_flagged,large_leave_one_out_pull,0.8420358006762854,6.618491727583392,ding,NmipConstantsDay182.txt,/Users/dchenmac/dchen/service/Run23_live/EpdCalibration-apple/projects/2023_AuAu_200GeV/data/derived/daily_observations_primary.csv,4491,inspect_spectrum_or_provenance; do_not_auto_reject
15,1,182,0,6,27,126.297432,0.554246,not_flagged,large_leave_one_out_pull,0.8401189557687019,6.602820180827414,ding,NmipConstantsDay182.txt,/Users/dchenmac/dchen/service/Run23_live/EpdCalibration-apple/projects/2023_AuAu_200GeV/data/derived/daily_observations_primary.csv,4647,inspect_spectrum_or_provenance; do_not_auto_reject
16,1,182,0,2,30,132.990356,0.460903,not_flagged,large_leave_one_out_pull,0.8275573802476117,7.080753347310143,ding,NmipConstantsDay182.txt,/Users/dchenmac/dchen/service/Run23_live/EpdCalibration-apple/projects/2023_AuAu_200GeV/data/derived/daily_observations_primary.csv,4526,inspect_spectrum_or_provenance; do_not_auto_reject
17,1,182,1,3,7,128.959946,0.549787,not_flagged,large_leave_one_out_pull,0.8091530113866554,7.1623800713435415,ding,NmipConstantsDay182.txt,/Users/dchenmac/dchen/service/Run23_live/EpdCalibration-apple/projects/2023_AuAu_200GeV/data/derived/daily_observations_primary.csv,4906,inspect_spectrum_or_provenance; do_not_auto_reject
