rank,priority_tier,ew,pp,tt,period_start,period_end,n_found,n_used,status,median_mpv,max_abs_residual,missing_days,flagged_days,numeric_excluded_days,qa_flag,source,split_day,n_before,n_after,signed_median_shift,notes,constant,constant_error,chi2,ndf,chi2_ndf,max_weight_fraction,dominant_day
1,2,0,6,25,176,182,7,7,provisional,133.511108,3.669349410569282,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,132.44747141056928,0.2221683985579652,91.88773825854135,6,15.314623043090224,0.24751915910775277,181
2,2,0,1,30,176,182,7,7,provisional,131.500626,3.3348439976715696,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,130.80168699767157,0.22681256633262387,85.21152720970046,6,14.201921201616743,0.23853578654421256,182
3,2,1,3,20,176,182,7,7,provisional,135.316544,3.1987182649615136,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,133.6224392649615,0.23692807639036687,83.35288641489548,6,13.892147735815913,0.229338650019488,181
4,2,0,1,26,176,182,7,7,provisional,133.741226,2.9499246938303543,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,132.18413930616964,0.2366698425376118,81.32137166825649,6,13.553561944709415,0.2241885363380748,182
5,2,0,6,28,176,182,7,7,provisional,136.802521,3.4957497220138976,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,135.8490667220139,0.22239379812120016,80.61275697962398,6,13.435459496603997,0.22905866680769607,182
6,2,1,6,16,176,182,7,7,provisional,130.800385,2.218352050630102,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,129.6589040506301,0.20632148486837443,79.45293831446047,6,13.242156385743412,0.22096732744978226,181
7,2,0,6,24,176,182,7,7,provisional,134.538513,3.009747948111084,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,133.73034394811108,0.20628137247689166,79.35596867246329,6,13.225994778743882,0.23054145049280292,182
8,2,0,1,27,176,182,7,7,provisional,134.408981,2.709402657893577,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,133.48172665789357,0.21735542238289488,74.10118527122678,6,12.350197545204464,0.2198702778449311,181
9,2,0,4,27,176,182,7,7,provisional,135.329102,2.3501354462345034,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,134.6142654462345,0.17696331049305036,70.86750702121779,6,11.811251170202965,0.2106208825053331,181
10,2,1,4,18,176,182,7,7,provisional,138.458359,2.730044870588131,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,137.47857312941187,0.23363509459763881,67.72380357604422,6,11.28730059600737,0.22688192891687434,182
11,2,0,6,31,176,182,7,7,provisional,134.309692,2.9178974381960074,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,133.200795438196,0.22261696096777428,62.64436518642043,6,10.440727531070072,0.2374764654762971,181
12,2,0,5,31,176,182,7,7,provisional,133.481598,3.3459745254403117,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,132.6467255254403,0.22393652083001853,62.3500962593668,6,10.391682709894466,0.21889208534742843,181
13,2,0,2,30,176,182,7,7,provisional,136.765366,2.8758883353801252,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,135.86624433538012,0.21787409761975784,61.26201940491774,6,10.210336567486289,0.22345605789643205,182
14,2,0,1,24,176,182,7,7,provisional,131.917969,3.5282144735953977,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,131.3239885264046,0.23750871637417856,61.057952145431145,6,10.176325357571857,0.22208650004279115,182
15,2,0,1,25,176,182,7,7,provisional,130.657608,3.469533418091885,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,130.45704158190813,0.23793297403123811,60.301470980679106,6,10.050245163446517,0.21768501045582073,181
16,2,1,3,19,176,182,7,7,provisional,131.306671,3.1238414466563,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,130.5379114466563,0.24449845494626307,59.788063063913995,6,9.964677177318999,0.22495024689320992,181
17,2,1,5,19,176,182,7,7,provisional,136.243179,3.0710011581087997,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,135.6326311581088,0.23403694862231533,59.21829450836684,6,9.869715751394473,0.21892588196141813,181
18,2,1,3,7,176,182,7,7,provisional,133.118652,3.5539359252633744,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,132.51388192526338,0.2367624149350838,58.499013004715856,6,9.749835500785975,0.19971384455802296,181
19,2,1,4,20,176,182,7,7,provisional,139.093689,3.2709376590134127,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,137.7094446590134,0.26650326139437813,58.351570365082374,6,9.725261727513729,0.2341969378824911,182
