day,ew,pp,tt,review_status,action,reason,old_mpv,replacement_mpv,replacement_mpv_error,notes
193,1,12,1,manual_refit_accepted,replace_daily_observation,automatic_fit_pathological,643294.1,127.180634,0.862202,manual_fit_20260917;mpv_error=0.862202;fit_status=0;chi2_ndf=1.24
193,1,7,16,insufficient_statistics,exclude_from_period_fit,sparse_spectrum,,,,
193,1,7,17,insufficient_statistics,exclude_from_period_fit,sparse_spectrum,,,,
193,1,7,18,insufficient_statistics,exclude_from_period_fit,sparse_spectrum,,,,
193,1,7,19,insufficient_statistics,exclude_from_period_fit,sparse_spectrum,,,,
193,1,7,20,insufficient_statistics,exclude_from_period_fit,sparse_spectrum,,,,
193,1,7,21,insufficient_statistics,exclude_from_period_fit,sparse_spectrum,,,,
193,1,7,22,insufficient_statistics,exclude_from_period_fit,sparse_spectrum,,,,
193,1,7,23,insufficient_statistics,exclude_from_period_fit,sparse_spectrum,,,,
193,1,11,24,insufficient_statistics,exclude_from_period_fit,sparse_spectrum,,,,
193,1,11,25,insufficient_statistics,exclude_from_period_fit,sparse_spectrum,,,,
193,1,11,26,insufficient_statistics,exclude_from_period_fit,sparse_spectrum,8.588e21,,,
193,1,11,27,insufficient_statistics,exclude_from_period_fit,sparse_spectrum,-2.7528e11,,,
193,1,11,28,insufficient_statistics,exclude_from_period_fit,sparse_spectrum,,,,
193,1,11,29,insufficient_statistics,exclude_from_period_fit,sparse_spectrum,,,,
193,1,11,30,insufficient_statistics,exclude_from_period_fit,sparse_spectrum,,,,
193,1,11,31,insufficient_statistics,exclude_from_period_fit,sparse_spectrum,,,,
193,1,12,24,insufficient_statistics,exclude_from_period_fit,sparse_spectrum,,,,
193,1,12,25,insufficient_statistics,exclude_from_period_fit,sparse_spectrum,,,,
193,1,12,26,insufficient_statistics,exclude_from_period_fit,sparse_spectrum,,,,
193,1,12,27,insufficient_statistics,exclude_from_period_fit,sparse_spectrum,,,,
193,1,12,28,insufficient_statistics,exclude_from_period_fit,sparse_spectrum,,,,
193,1,12,29,insufficient_statistics,exclude_from_period_fit,sparse_spectrum,,,,
193,1,12,30,insufficient_statistics,exclude_from_period_fit,sparse_spectrum,,,,
193,1,12,31,insufficient_statistics,exclude_from_period_fit,sparse_spectrum,,,,
207,1,1,6,known_dead_tile,exclude_from_period_fit,known_dead_tile;automatic_fit_failed_placeholder_135,135.0,,,dead tile also documented in earlier collaborator QA
208,1,1,6,known_dead_tile,exclude_from_period_fit,known_dead_tile;automatic_fit_failed_placeholder_135,135.0,,,dead tile also documented in earlier collaborator QA
207,1,2,10,known_dead_tile,exclude_from_period_fit,known_dead_tile;automatic_fit_failed_placeholder_135,135.0,,,dead tile also documented in earlier collaborator QA
208,1,2,10,known_dead_tile,exclude_from_period_fit,known_dead_tile;automatic_fit_failed_placeholder_135,135.0,,,dead tile also documented in earlier collaborator QA
193,1,8,16,sparse_spectrum,exclude_from_period_fit,insufficient_spectrum_statistics,,,,Day193 ROOT entries 31-54; adjacent TT15/TT24 normal ~1e5 entries
193,1,8,17,sparse_spectrum,exclude_from_period_fit,insufficient_spectrum_statistics,,,,Day193 ROOT entries 31-54; adjacent TT15/TT24 normal ~1e5 entries
193,1,8,18,sparse_spectrum,exclude_from_period_fit,insufficient_spectrum_statistics,,,,Day193 ROOT entries 31-54; adjacent TT15/TT24 normal ~1e5 entries
193,1,8,19,sparse_spectrum,exclude_from_period_fit,insufficient_spectrum_statistics,,,,Day193 ROOT entries 31-54; adjacent TT15/TT24 normal ~1e5 entries
193,1,8,20,sparse_spectrum,exclude_from_period_fit,insufficient_spectrum_statistics,,,,Day193 ROOT entries 31-54; adjacent TT15/TT24 normal ~1e5 entries
193,1,8,21,sparse_spectrum,exclude_from_period_fit,insufficient_spectrum_statistics,,,,Day193 ROOT entries 31-54; adjacent TT15/TT24 normal ~1e5 entries
193,1,8,22,sparse_spectrum,exclude_from_period_fit,insufficient_spectrum_statistics,,,,Day193 ROOT entries 31-54; adjacent TT15/TT24 normal ~1e5 entries
193,1,8,23,sparse_spectrum,exclude_from_period_fit,insufficient_spectrum_statistics,,,,Day193 ROOT entries 31-54; adjacent TT15/TT24 normal ~1e5 entries
193,1,8,24,manual_refit_accepted,replace_daily_observation,automatic_fit_pathological,4183.641113,132.188126,0.785998,manual_fit_20260917;fit_status=0;chi2_ndf=1.82
193,1,7,24,manual_refit_accepted,replace_daily_observation,automatic_fit_pathological,114253.4375,136.041840,0.605030,manual_fit_20260917;fit_status=0;chi2_ndf=1.71
193,1,12,2,manual_refit_accepted,replace_daily_observation,automatic_fit_pathological,4155.458008,130.035950,0.830664,manual_fit_20260917;fit_status=0;chi2_ndf=1.32
190,1,1,6,known_dead_tile,exclude_from_period_fit,known_dead_tile;automatic_fit_failed_placeholder_135,135.0,,,persistent fit_failed placeholder across period; also documented in collaborator QA
190,1,2,10,known_dead_tile,exclude_from_period_fit,known_dead_tile;automatic_fit_failed_placeholder_135,135.0,,,persistent fit_failed placeholder across period; also documented in collaborator QA
191,1,1,6,known_dead_tile,exclude_from_period_fit,known_dead_tile;automatic_fit_failed_placeholder_135,135.0,,,persistent fit_failed placeholder across period; also documented in collaborator QA
191,1,2,10,known_dead_tile,exclude_from_period_fit,known_dead_tile;automatic_fit_failed_placeholder_135,135.0,,,persistent fit_failed placeholder across period; also documented in collaborator QA
192,1,1,6,known_dead_tile,exclude_from_period_fit,known_dead_tile;automatic_fit_failed_placeholder_135,135.0,,,persistent fit_failed placeholder across period; also documented in collaborator QA
192,1,2,10,known_dead_tile,exclude_from_period_fit,known_dead_tile;automatic_fit_failed_placeholder_135,135.0,,,persistent fit_failed placeholder across period; also documented in collaborator QA
193,1,1,6,known_dead_tile,exclude_from_period_fit,known_dead_tile;automatic_fit_failed_placeholder_135,135.0,,,persistent fit_failed placeholder across period; also documented in collaborator QA
193,1,2,10,known_dead_tile,exclude_from_period_fit,known_dead_tile;automatic_fit_failed_placeholder_135,135.0,,,persistent fit_failed placeholder across period; also documented in collaborator QA
194,1,1,6,known_dead_tile,exclude_from_period_fit,known_dead_tile;automatic_fit_failed_placeholder_135,135.0,,,persistent fit_failed placeholder across period; also documented in collaborator QA
194,1,2,10,known_dead_tile,exclude_from_period_fit,known_dead_tile;automatic_fit_failed_placeholder_135,135.0,,,persistent fit_failed placeholder across period; also documented in collaborator QA
195,1,1,6,known_dead_tile,exclude_from_period_fit,known_dead_tile;automatic_fit_failed_placeholder_135,135.0,,,persistent fit_failed placeholder across period; also documented in collaborator QA
195,1,2,10,known_dead_tile,exclude_from_period_fit,known_dead_tile;automatic_fit_failed_placeholder_135,135.0,,,persistent fit_failed placeholder across period; also documented in collaborator QA
196,1,1,6,known_dead_tile,exclude_from_period_fit,known_dead_tile;automatic_fit_failed_placeholder_135,135.0,,,persistent fit_failed placeholder across period; also documented in collaborator QA
196,1,2,10,known_dead_tile,exclude_from_period_fit,known_dead_tile;automatic_fit_failed_placeholder_135,135.0,,,persistent fit_failed placeholder across period; also documented in collaborator QA
197,1,1,6,known_dead_tile,exclude_from_period_fit,known_dead_tile;automatic_fit_failed_placeholder_135,135.0,,,persistent fit_failed placeholder across period; also documented in collaborator QA
197,1,2,10,known_dead_tile,exclude_from_period_fit,known_dead_tile;automatic_fit_failed_placeholder_135,135.0,,,persistent fit_failed placeholder across period; also documented in collaborator QA
198,1,1,6,known_dead_tile,exclude_from_period_fit,known_dead_tile;automatic_fit_failed_placeholder_135,135.0,,,persistent fit_failed placeholder across period; also documented in collaborator QA
198,1,2,10,known_dead_tile,exclude_from_period_fit,known_dead_tile;automatic_fit_failed_placeholder_135,135.0,,,persistent fit_failed placeholder across period; also documented in collaborator QA
199,1,1,6,known_dead_tile,exclude_from_period_fit,known_dead_tile;automatic_fit_failed_placeholder_135,135.0,,,persistent fit_failed placeholder across period; also documented in collaborator QA
199,1,2,10,known_dead_tile,exclude_from_period_fit,known_dead_tile;automatic_fit_failed_placeholder_135,135.0,,,persistent fit_failed placeholder across period; also documented in collaborator QA
200,1,1,6,known_dead_tile,exclude_from_period_fit,known_dead_tile;automatic_fit_failed_placeholder_135,135.0,,,persistent fit_failed placeholder across period; also documented in collaborator QA
200,1,2,10,known_dead_tile,exclude_from_period_fit,known_dead_tile;automatic_fit_failed_placeholder_135,135.0,,,persistent fit_failed placeholder across period; also documented in collaborator QA
201,1,1,6,known_dead_tile,exclude_from_period_fit,known_dead_tile;automatic_fit_failed_placeholder_135,135.0,,,persistent fit_failed placeholder across period; also documented in collaborator QA
201,1,2,10,known_dead_tile,exclude_from_period_fit,known_dead_tile;automatic_fit_failed_placeholder_135,135.0,,,persistent fit_failed placeholder across period; also documented in collaborator QA
202,1,1,6,known_dead_tile,exclude_from_period_fit,known_dead_tile;automatic_fit_failed_placeholder_135,135.0,,,persistent fit_failed placeholder across period; also documented in collaborator QA
202,1,2,10,known_dead_tile,exclude_from_period_fit,known_dead_tile;automatic_fit_failed_placeholder_135,135.0,,,persistent fit_failed placeholder across period; also documented in collaborator QA
203,1,1,6,known_dead_tile,exclude_from_period_fit,known_dead_tile;automatic_fit_failed_placeholder_135,135.0,,,persistent fit_failed placeholder across period; also documented in collaborator QA
203,1,2,10,known_dead_tile,exclude_from_period_fit,known_dead_tile;automatic_fit_failed_placeholder_135,135.0,,,persistent fit_failed placeholder across period; also documented in collaborator QA
204,1,1,6,known_dead_tile,exclude_from_period_fit,known_dead_tile;automatic_fit_failed_placeholder_135,135.0,,,persistent fit_failed placeholder across period; also documented in collaborator QA
204,1,2,10,known_dead_tile,exclude_from_period_fit,known_dead_tile;automatic_fit_failed_placeholder_135,135.0,,,persistent fit_failed placeholder across period; also documented in collaborator QA
205,1,1,6,known_dead_tile,exclude_from_period_fit,known_dead_tile;automatic_fit_failed_placeholder_135,135.0,,,persistent fit_failed placeholder across period; also documented in collaborator QA
205,1,2,10,known_dead_tile,exclude_from_period_fit,known_dead_tile;automatic_fit_failed_placeholder_135,135.0,,,persistent fit_failed placeholder across period; also documented in collaborator QA
206,1,1,6,known_dead_tile,exclude_from_period_fit,known_dead_tile;automatic_fit_failed_placeholder_135,135.0,,,persistent fit_failed placeholder across period; also documented in collaborator QA
206,1,2,10,known_dead_tile,exclude_from_period_fit,known_dead_tile;automatic_fit_failed_placeholder_135,135.0,,,persistent fit_failed placeholder across period; also documented in collaborator QA
190,0,1,1,manual_refit_accepted,replace_daily_observation,automatic_fit_pathological,30.02668,112.164169,2.181030,manual_fit_20260917;fit_status=0;chi2_ndf=0.96;fit_start=70;visual_fit_accepted;broad_peak;fit_start_60_to_70_checked;fit_start_80_truncates_peak
